Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CD,Geo_CSA,Geo_MSAMSA,SE_T001_001,SE_T001_005,SE_T001_010,SE_T001_004,SE_T001_006,SE_T001_009,SE_T001_003,SE_T001_007,SE_T001_008,SE_T001_002,SE_T002_001,SE_T002_005,SE_T002_010,SE_T002_004,SE_T002_006,SE_T002_009,SE_T002_003,SE_T002_007,SE_T002_008,SE_T002_002,SE_T600_001,SE_T600_002,SE_T600_003,SE_T600_004,SE_T600_005,SE_T600_006,SE_T600_007,SE_T600_008,SE_T600_009,SE_T600_010,SE_T003_001,SE_T003_005,SE_T003_010,SE_T003_004,SE_T003_006,SE_T003_009,SE_T003_003,SE_T003_007,SE_T003_008,SE_T003_002,SE_T800_001,SE_T800_002,SE_T800_003,SE_T800_004,SE_T800_005,SE_T800_006,SE_T800_007,SE_T800_008,SE_T800_009,SE_T800_010,SE_T1200_001,SE_T1200_002,SE_T1200_003,SE_T1200_004,SE_T1200_005,SE_T1200_006,SE_T1200_007,SE_T1200_008,SE_T1200_009,SE_T1200_010,SE_T004_001,SE_T004_005,SE_T004_010,SE_T004_004,SE_T004_006,SE_T004_009,SE_T004_003,SE_T004_007,SE_T004_008,SE_T004_002,SE_T1000_001,SE_T1000_002,SE_T1000_003,SE_T1000_004,SE_T1000_005,SE_T1000_006,SE_T1000_007,SE_T1000_008,SE_T1000_009,SE_T1000_010
"48","Texas","Texas","00","48",,,,,10794596,530328,741564,1091813,1829956,1429386,1737880,1120245,851143,1462281,600747,310446,111465,80678,60696,20774,11516,3289,1239,644,,,,,,,,,,,577914267,29524453,31478041,46385878,78986508,68258145,95107870,64376418,58090685,105706269,,,,,,,,,,,53537.3687908283,55672.0614412213,42448.1784444768,42485.1856499236,43163.0640299548,47753.4724699976,54726.3735125555,57466.3738735723,68250.2058995962,72288.6155260172,149726339,6000220,7703150,11392755,19761462,17398245,24946721,17422724,15767438,29333624,,,,,,,,,,
"49","Utah","Utah","00","49",,,,,1337574,68777,87473,137932,214698,156675,198195,124454,94627,254743,82260,47567,13144,10223,7104,2293,1315,374,140,100,,,,,,,,,,,62411104,3517867,3399100,5207788,8593444,6982520,9620044,7022498,5408713,12659130,,,,,,,,,,,46659.926105023,51148.8869825668,38858.847873058,37756.1987066091,40025.7291637556,44566.9060156375,48538.2779585762,56426.4547543671,57158.2423621165,49693.730544117,15449744,674562,812412,1234263,2075485,1695077,2374887,1803113,1426405,3353540,,,,,,,,,,
"50","Vermont","Vermont","00","50",,,,,261282,20126,26286,37369,47123,33421,37782,18981,12763,27431,21019,11863,3972,2768,1590,484,254,55,18,15,,,,,,,,,,,11436767,939038,1002200,1425124,1955167,1396902,1689339,1088738,699756,1240503,,,,,,,,,,,43771.73705039,46657.9548842294,38126.7594917447,38136.5302791084,41490.7157863464,41797.133538793,44712.7997459108,57359.3593593594,54826.9215701638,45222.6677846232,2799325,190277,240329,342624,463432,345152,424650,289112,184773,318976,,,,,,,,,,
"51","Virginia","Virginia","00","51",,,,,3386839,181421,244464,362813,617664,462054,553547,328674,231225,404977,202379,106454,36786,26785,20416,6768,3679,964,341,186,,,,,,,,,,,188552171,9368986,10561849,15795215,27566211,23096094,31762054,22078227,17363484,30960051,,,,,,,,,,,55672.0207249296,51642.2354633697,43204.1077622881,43535.4163163944,44629.7841544918,49985.7029697828,57379.1457635937,67173.6340568466,75093.4544275057,76448.9119135161,48129320,2000887,2544282,3833375,6753416,5814576,8187053,6011658,4658202,8325871,,,,,,,,,,
"53","Washington","Washington","00","53",,,,,2847481,174252,236355,334322,495846,360365,435610,242837,164579,403315,193817,107682,35584,24769,16509,5255,2898,725,245,150,,,,,,,,,,,183300334,9117595,10215415,15038935,23502865,19440930,25723549,17019375,14430587,48811083,,,,,,,,,,,64372.8031899072,52324.1914009595,43220.6426773286,44983.3842822189,47399.5252558254,53947.8861709655,59051.7871490553,70085.5923932514,87681.8245341143,121024.715173004,45434074,1844274,2447977,3593798,5694136,4759717,6418698,4447291,3646247,12581936,,,,,,,,,,
"54","West Virginia","West Virginia","00","54",,,,,554567,32598,52822,73341,102420,75103,85946,49278,29008,54051,35963,17278,7914,5438,3431,1100,584,144,45,29,,,,,,,,,,,23198172,1262451,1737582,2537763,3743785,2941034,3819814,2481494,1502143,3172106,,,,,,,,,,,41831.1439375224,38727.8667402908,32895.0437317784,34602.2415838344,36553.26108182,39160.0069238246,44444.3487771391,50357.035593977,51783.749310535,58687.276831141,5775677,267047,420709,610126,918869,721144,969939,658230,381925,827688,,,,,,,,,,
"55","Wisconsin","Wisconsin","00","55",,,,,2602148,121421,182687,267714,452467,350350,448060,274890,217518,287041,141666,70119,27520,19798,14867,5099,2986,812,320,145,,,,,,,,,,,127405654,5773039,6909044,10091399,18018012,15668534,21903838,14700513,13945636,20395639,,,,,,,,,,,48961.7246982109,47545.6387280619,37819.0237947966,37694.7003145147,39821.7151748083,44722.5174825175,48885.9483104941,53477.8020299029,64112.560799566,71054.7935660759,31519566,1139080,1607578,2348041,4311628,3878453,5606290,3751469,3604291,5272736,,,,,,,,,,
"56","Wyoming","Wyoming","00","56",,,,,205786,20679,26339,33706,43684,26235,23363,13289,10895,7596,21336,12772,3977,2510,1474,386,156,40,16,5,,,,,,,,,,,9982639,1027740,1063456,1372522,1964372,1238817,1295249,701191,839911,479381,,,,,,,,,,,48509.8063036358,49699.6953431017,40375.716617943,40720.4058624577,44967.7685193664,47220.0114351058,55440.1831956512,52764.7678531116,77091.4180816889,63109.6629805161,2386265,203525,254472,318485,472258,294342,324275,175667,216939,126302,,,,,,,,,,
"60","American Samoa","American Samoa","00","60",,,,,7596,501,821,862,1053,775,658,,,,496,252,122,68,34,12,6,,,,,,,,,,,,,,133204,8379,12091,12539,16481,11572,13872,,,,,,,,,,,,,,17536.0716166403,16724.5508982036,14727.1619975639,14546.403712297,15651.4719848053,14931.6129032258,21082.0668693009,,,,31080,1761,2912,3141,3730,2886,3246,,,,,,,,,,,,,
"66","Guam","Guam","00","66",,,,,59917,2872,5409,8012,11781,8813,9613,6736,6681,,3530,1511,805,604,388,128,67,18,9,,,,,,,,,,,,1655031,84717,127533,199469,299538,223556,297404,187278,235536,,,,,,,,,,,,27622.0605170486,29497.5626740947,23577.9256794232,24896.2805791313,25425.5156608098,25366.6174968796,30937.6885467596,27802.5534441805,35254.6026044005,,408497,17642,31967,49646,74441,55373,74768,48094,56566,,,,,,,,,,,
"69","Commonwealth of the Northern Mariana Islands","Commonwealth of the Northern Mariana Islands","00","69",,,,,19304,1921,2190,2542,3339,2059,2566,2333,,,1711,1001,345,194,114,32,16,7,,,,,,,,,,,,,443480,32897,37124,45278,65701,38319,52554,51153,,,,,,,,,,,,,22973.4769995856,17124.9349297241,16951.598173516,17811.9590873328,19676.8493560946,18610.4905293832,20480.9041309431,21925.8465495071,,,106470,7463,9252,11272,16358,9863,13539,13204,,,,,,,,,,,,
"72","Puerto Rico","Puerto Rico","00","72",,,,,661332,42942,53163,68003,105678,75202,97430,76860,68190,73864,43329,24559,8065,5086,3504,1099,652,219,104,41,,,,,,,,,,,17946374,1270973,1237288,1564863,2596935,2023165,2599972,2485160,2105349,2062669,,,,,,,,,,,27136.7089449777,29597.4337478459,23273.4796757143,23011.6759554726,24574.0362232442,26903.0743863195,26685.538335215,32333.5935467083,30874.7470303564,27925.2274450341,4443784,242514,287586,373228,637944,496568,651470,659162,554621,540691,,,,,,,,,,
"78","United States Virgin Islands","United States Virgin Islands","00","78",,,,,25298,2240,3049,4373,5421,3113,4055,2513,,,2362,1291,472,329,190,45,27,7,,,,,,,,,,,,,1015528,111330,106801,159708,206819,126555,146763,127626,,,,,,,,,,,,,40142.6199699581,49700.8928571429,35028.2059691702,36521.3812028356,38151.4480723114,40653.7102473498,36193.0949445129,50786.3111818544,,,241101,20070,26695,40233,48120,34916,35755,27458,,,,,,,,,,,,
